                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0716,                 5.0297,                0.89182,                0.88707,                0.77323,                0.89236,                0.66234,                0.85952,                 1.2185,                0.82678,             0.00040625,             0.00040625,             0.00040625
                      2,                0.93369,                0.90102,                0.84037,                 0.4067,                0.63611,                0.35987,                 0.2741,                0.91658,                    nan,                0.87001,             0.00081469,             0.00081469,             0.00081469
                      3,                0.90909,                0.68751,                0.84525,                0.94861,                0.76856,                0.88094,                0.65239,                0.87113,                0.73854,                0.82903,              0.0012148,              0.0012148,              0.0012148
                      4,                 0.9047,                0.63128,                0.83348,                0.39972,                 0.0643,                0.03457,                0.01847,                  3.246,                    inf,                 1.9653,              0.0012125,              0.0012125,              0.0012125
                      5,                0.83511,                0.60613,                0.82643,                0.02216,                0.09044,                0.00684,                0.00609,                 2.3249,                    inf,                  3.286,                 0.0012,                 0.0012,                 0.0012
                      6,                0.82552,                0.55348,                0.83281,                0.91494,                0.83136,                0.85802,                0.65804,                0.83712,                 1.1021,                  0.819,              0.0011875,              0.0011875,              0.0011875
                      7,                0.80577,                0.51891,                0.80812,                0.92435,                0.81133,                0.92711,                0.73881,                0.72561,                0.52608,                0.80325,               0.001175,               0.001175,               0.001175
                      8,                0.79261,                0.52633,                0.81679,                0.94046,                0.27778,                0.33772,                0.27879,                 1.3297,                 1.6378,                 1.1486,              0.0011625,              0.0011625,              0.0011625
                      9,                0.76011,                0.51048,                0.81386,                 0.9081,                0.78951,                0.85507,                0.66971,                0.73955,                0.66067,                0.81908,                0.00115,                0.00115,                0.00115
                     10,                 0.7112,                0.46443,                0.81203,                0.87326,                0.85594,                0.89448,                0.71159,                0.76625,                0.57005,                  0.803,              0.0011375,              0.0011375,              0.0011375
                     11,                0.71649,                0.47443,                0.80225,                0.96702,                0.83239,                0.92621,                0.73688,                0.73384,                 0.5402,                0.80143,               0.001125,               0.001125,               0.001125
                     12,                0.70214,                0.43208,                0.79971,                0.95386,                 0.8542,                0.93107,                0.73408,                0.72664,                0.49089,                0.79758,              0.0011125,              0.0011125,              0.0011125
                     13,                0.72178,                0.44847,                0.80712,                0.96647,                 0.8339,                0.93248,                0.74047,                0.70374,                0.50421,                0.80747,                 0.0011,                 0.0011,                 0.0011
                     14,                 0.7153,                0.43755,                0.81179,                0.93891,                0.88004,                0.93532,                0.70703,                0.82936,                0.49027,                0.81379,              0.0010875,              0.0010875,              0.0010875
                     15,                0.67752,                0.41141,                 0.8129,                 0.9312,                0.88577,                0.94813,                 0.7355,                0.74756,                0.49738,                0.80754,               0.001075,               0.001075,               0.001075
                     16,                0.65974,                0.41848,                0.80011,                 0.9706,                0.86416,                 0.9151,                0.69885,                 0.7776,                 0.5089,                 0.8078,              0.0010625,              0.0010625,              0.0010625
                     17,                0.68326,                0.41475,                0.79939,                0.92671,                0.84193,                0.90724,                0.67438,                0.80994,                0.54409,                0.81267,                0.00105,                0.00105,                0.00105
                     18,                0.69148,                 0.4164,                0.80996,                0.96267,                 0.8949,                0.94235,                0.74853,                0.71508,                0.45536,                0.80255,              0.0010375,              0.0010375,              0.0010375
                     19,                0.66657,                0.39089,                 0.8032,                0.94898,                0.88413,                0.93546,                0.75092,                0.71523,                0.45425,                0.80001,               0.001025,               0.001025,               0.001025
                     20,                0.66343,                0.39152,                0.80645,                0.96927,                0.86848,                 0.9315,                 0.7173,                0.76845,                0.42626,                0.80701,              0.0010125,              0.0010125,              0.0010125
                     21,                 0.6203,                0.37152,                0.79708,                0.94292,                0.89874,                0.94632,                0.76259,                0.70114,                0.43307,                0.79956,                  0.001,                  0.001,                  0.001
                      1,                 1.0735,                 5.0282,                0.88584,                0.84841,                0.59774,                0.77774,                0.57975,                0.89756,                 2.3333,                0.83455,             0.00040625,             0.00040625,             0.00040625
                      2,                0.95499,                 0.8876,                0.83755,                0.48423,                0.71816,                0.48355,                0.36571,                0.78007,                 29.293,                 0.8139,             0.00078177,             0.00078177,             0.00078177
                      3,                0.88411,                0.71532,                0.83172,                0.73848,                0.83647,                0.78299,                0.54382,                0.91019,                0.83638,                 0.8324,              0.0011156,              0.0011156,              0.0011156
                      4,                0.85075,                0.64321,                0.82645,                0.88033,                0.83959,                0.89695,                0.69084,                0.79728,                0.64846,                0.82299,              0.0010625,              0.0010625,              0.0010625
                      5,                0.84205,                0.55935,                0.83274,                0.93618,                0.85492,                0.93678,                0.72074,                0.76578,                0.55221,                0.81038,                  0.001,                  0.001,                  0.001
                      6,                0.80349,                0.52282,                0.82939,                0.93017,                 0.8807,                0.93458,                0.69694,                0.83559,                0.51603,                0.81919,              0.0009375,              0.0009375,              0.0009375
                      7,                0.77208,                0.48066,                0.80447,                0.95497,                0.86648,                0.95385,                0.74145,                0.79881,                 0.4958,                0.81125,               0.000875,               0.000875,               0.000875
                      8,                0.76353,                0.48076,                0.80948,                0.93226,                 0.8714,                0.95214,                0.73144,                0.74318,                0.48557,                0.80205,              0.0008125,              0.0008125,              0.0008125
                      9,                0.71026,                0.45054,                0.80872,                0.90667,                0.92182,                0.95643,                0.74042,                0.74706,                0.47782,                0.79724,                0.00075,                0.00075,                0.00075
                     10,                0.65818,                0.42453,                0.80178,                 0.9131,                0.89426,                0.95071,                0.75215,                 0.7487,                0.47914,                0.80305,             0.00068751,             0.00068751,             0.00068751
                     11,                0.76455,                0.49567,                0.82903,                0.91668,                0.93213,                0.96304,                0.77148,                0.66629,                 0.4984,                0.79986,             0.00062501,             0.00062501,             0.00062501
                     12,                0.73539,                0.48006,                0.80747,                0.93615,                0.90004,                0.97422,                0.79002,                0.64428,                 0.4529,                0.79342,             0.00056251,             0.00056251,             0.00056251
                     13,                0.68791,                0.44483,                0.80769,                0.96644,                0.89393,                0.95184,                0.78339,                0.64253,                0.44222,                0.79132,             0.00050001,             0.00050001,             0.00050001
                     14,                 0.6626,                0.44802,                 0.8071,                0.97474,                0.90059,                0.95943,                0.80356,                0.61251,                0.41495,                0.78806,             0.00043751,             0.00043751,             0.00043751
                     15,                0.67066,                0.43248,                0.79766,                0.96241,                0.89917,                0.95583,                0.81077,                0.60788,                0.42919,                0.78863,             0.00037501,             0.00037501,             0.00037501
                     16,                  0.619,                0.39064,                0.80671,                0.98151,                0.91906,                0.97023,                0.81313,                0.59156,                0.38021,                0.78059,             0.00031251,             0.00031251,             0.00031251
                     17,                0.62799,                0.39308,                0.79988,                0.97861,                0.91997,                0.96885,                0.82356,                 0.5836,                0.38441,                0.78169,             0.00025001,             0.00025001,             0.00025001
                     18,                0.58883,                 0.3568,                 0.7976,                0.98044,                0.94173,                 0.9735,                0.81962,                0.58545,                0.36417,                0.78026,             0.00018751,             0.00018751,             0.00018751
                     19,                0.59232,                0.35461,                0.80026,                0.94859,                0.96396,                0.98047,                0.83422,                0.55706,                0.35192,                0.77739,             0.00012501,             0.00012501,             0.00012501
                     20,                0.56635,                0.34192,                0.79347,                0.97285,                 0.9481,                0.98041,                0.83363,                0.56115,                0.34431,                 0.7793,             6.2512e-05,             6.2512e-05,             6.2512e-05
